intacess,intacshm,intacwk,intacscl,intaclib,intuse,intuseyr,intusefq,intsite,libuseyr,libusefq,libstop,libuswhy,libnowhy,intuswhy,libradeq,netradeq,libfind,netfind,libacinf,netacinf,libcurnt,netcurnt,libfun,intfun,surflib,surfnet,libusfut,netusfut,intnowhy,rsnonet,educ,rural,student,employed,income,gender,region,age,agecat4,internet,income3,libfreq,degree,kids
1,1,1,1,1,1,2.5,1,1,1,4,3,10,21,13,10,10,9,7,10,6,8,4,10,10,8,8,3,1,13,14,14,2,1,1,8,1,5,35,1,1,3,2,3,1
0,2,2,2,2,2,-1,-1,13,0,7,3,24,18,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,11,2,3,2,8,10,1,2,20,1,0,10,1,1,0
0,2,2,2,2,2,-1,-1,13,0,7,3,24,1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,11,8,2,2,1,5,1,1,51,3,0,2,1,1,0
1,1,0,0,1,0,-1,-1,13,1,3,3,12,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,14,14,1,2,2,6,1,6,50,2,2,2,3,3,1
0,2,2,2,2,2,-1,-1,13,0,7,2,24,16,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,11,13,3,2,1,7,1,6,38,2,0,2,1,3,0
0,2,2,2,2,2,-1,-1,13,0,7,3,24,18,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,10,3,1,3,10,2,6,28,1,0,10,1,1,1
0,2,2,2,2,2,-1,-1,13,0,7,3,24,1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,2,3,3,2,1,4,1,7,41,2,0,1,1,1,1
0,2,2,2,2,2,-1,-1,13,0,7,2,24,1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,2,10,3,2,5,10,1,1,20,1,0,10,1,1,1
1,1,1,0,1,1,2,3,1,1,4,3,12,21,26,10,10,10,10,8,10,10,10,10,10,10,10,4,3,13,14,12,2,2,1,8,2,1,37,2,1,3,2,2,1
1,0,0,0,0,0,-1,-1,13,0,7,3,24,1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,7,3,2,2,5,1,7,59,3,2,2,1,1,0
0,2,2,2,2,2,-1,-1,13,0,7,3,24,1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,2,6,3,2,3,10,2,7,24,1,0,10,1,1,1
1,0,1,0,1,1,1,5,2,1,1,3,12,21,4,10,10,7,10,10,7,10,10,10,10,10,7,1,4,13,2,12,2,2,1,7,1,4,38,2,1,2,5,2,0
0,2,2,2,2,2,-1,-1,13,1,1,3,1,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,8,3,2,3,10,2,1,30,1,0,10,5,1,1
0,2,2,2,2,2,-1,-1,13,0,7,2,24,11,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,10,2,2,1,11,2,1,56,3,0,11,1,1,0
0,2,2,2,2,2,-1,-1,13,0,7,2,24,14,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,15,2,2,6,9,1,3,56,3,0,3,1,4,0
