"ID","AGE","AGECAT","CPLDIFED","DEGREE","EDUC","EMAILHRS","FINRELA","HAPMAR","HAPPY","HRS1","HUSBEDUC","HUSBFT","HUSBHR","INCOMDOL","INCOME","LIFE","MAEDUC","MARITAL","NDEGREE","NETCAT","NETHRS","PAEDUC","PARTYID","POSTLIFE","PRES96","PRTDIFED","RICHWORK","RINCDOL","RINCOME","SATJOB","SEX","SIBS","SPDEG","SPEDUC","SPHRS1","SPWRKSTA","SRCHENG2","TVHOURS","USECOMP","USEMAIL","USENET","USEWEB","VOTE96","WEBHRS","WIFEDUC","WIFEFT","WIFEHR","WRKSTAT","ZODIAC"
"45",88,53,"50-59",NA,"Bachelor",16,3,"AVERAGE",NA,"NOT TOO HAPPY",40,NA,NA,NA,45000,18,"ROUTINE",7,"SEPARATED","junior college or more","4+ to 10 hours",5,2,"STRONG DEMOCRAT","YES","CLINTON",-5,"CONTINUE WORKING",45000,18,"MOD. SATISFIED","Female",8,NA,NA,NA,NA,"YAHOO",1,"Yes","Yes","Yes","Yes","VOTED",2,NA,NA,NA,"WORKING FULLTIME","GEMINI"
"46",89,20,"18-29",NA,"High school",12,0,"AVERAGE",NA,"PRETTY HAPPY",40,NA,NA,NA,45000,18,"EXCITING",16,"NEVER MARRIED","high school","One hour or less",1,NA,"IND,NEAR DEM","YES",NA,NA,"CONTINUE WORKING",11250,9,"MOD. SATISFIED","Male",1,NA,NA,NA,NA,NA,2,"Yes","No","Yes","Yes","INELIGIBLE",1,NA,NA,NA,"WORKING FULLTIME","CANCER"
"47",92,45,"40-49",2,"Junior college",14,NA,"BELOW AVERAGE","VERY HAPPY","VERY HAPPY",70,14,"Yes",70,82500,21,NA,12,"MARRIED","junior college or more","Not Internet user",NA,12,"INDEPENDENT","YES",NA,0,NA,82500,21,"MOD. SATISFIED","Male",1,"HIGH SCHOOL",12,NA,"KEEPING HOUSE",NA,1,"No","No","No","No","DID NOT VOTE",-1,12,"No",NA,"WORKING FULLTIME","LIBRA"
"48",93,46,"40-49",NA,NA,NA,0,"BELOW AVERAGE",NA,"PRETTY HAPPY",43,NA,NA,NA,55000,19,NA,12,"DIVORCED",NA,"One hour or less",0.05,10,"NOT STR DEMOCRAT","YES","CLINTON",-2,NA,32500,16,"MOD. SATISFIED","Female",2,NA,NA,NA,NA,NA,2,"Yes","No","Yes","Yes","VOTED",0.05,NA,NA,NA,"WORKING FULLTIME","SAGITTARIUS"
"49",94,24,"18-29",NA,"Bachelor",16,0.0166666666666667,"ABOVE AVERAGE",NA,"PRETTY HAPPY",45,NA,NA,NA,82500,21,NA,14,"NEVER MARRIED","junior college or more","1+ to  4 hours",1.01666666666667,14,"IND,NEAR DEM","YES","PEROT",0,NA,18750,12,"VERY SATISFIED","Male",15,NA,NA,NA,NA,NA,3,"Yes","Yes","Yes","Yes","VOTED",1,NA,NA,NA,"WORKING FULLTIME","SAGITTARIUS"
"50",95,51,"50-59",NA,"High school",13,NA,"BELOW AVERAGE",NA,"PRETTY HAPPY",70,NA,NA,NA,55000,19,"ROUTINE",12,"NEVER MARRIED","high school",NA,NA,9,"NOT STR REPUBLICAN","YES","CLINTON",-3,"CONTINUE WORKING",23750,14,"MOD. SATISFIED","Male",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VOTED",-1,NA,NA,NA,"WORKING FULLTIME","LEO"
"51",96,32,"30-39",NA,"High school",14,0.5,"AVERAGE",NA,"VERY HAPPY",50,NA,NA,NA,37500,17,NA,12,"NEVER MARRIED","high school","4+ to 10 hours",5.5,18,"NOT STR REPUBLICAN","NO","DOLE",6,NA,37500,17,"VERY SATISFIED","Male",3,NA,NA,NA,NA,"YAHOO",0,"Yes","Yes","Yes","Yes","VOTED",5,NA,NA,NA,"WORKING FULLTIME","CAPRICORN"
"52",97,53,"50-59",0,"High school",12,NA,"ABOVE AVERAGE","PRETTY HAPPY","VERY HAPPY",40,12,"Yes",56,NA,24,"ROUTINE",6,"MARRIED","high school","Not Internet user",NA,13,"INDEPENDENT","YES",NA,7,"STOP WORKING",NA,24,"MOD. SATISFIED","Female",0,"HIGH SCHOOL",12,56,"WORKING FULLTIME",NA,4,"No","No","No","No","VOTED",-1,12,"Yes",40,"WORKING FULLTIME","TAURUS"
"53",100,39,"30-39",NA,"Graduate",19,15,"ABOVE AVERAGE",NA,"PRETTY HAPPY",55,NA,NA,NA,NA,24,"EXCITING",12,"DIVORCED","junior college or more","More than 10",20,12,"INDEPENDENT","YES",NA,0,"CONTINUE WORKING",NA,24,"MOD. SATISFIED","Male",6,NA,NA,NA,NA,"ISEARCH",0,"Yes","Yes","Yes","Yes","VOTED",5,NA,NA,NA,"WORKING FULLTIME","SAGITTARIUS"
"54",101,47,"40-49",0,"Graduate",19,2,"AVERAGE","VERY HAPPY","VERY HAPPY",40,19,"Yes",40,NA,24,NA,12,"MARRIED","junior college or more","More than 10",32,16,"NOT STR DEMOCRAT","YES",NA,4,NA,NA,24,"MOD. SATISFIED","Male",4,"GRADUATE",19,40,"WORKING FULLTIME","LYNCO",2,"Yes","Yes","Yes","Yes","VOTED",30,19,"Yes",40,"WORKING FULLTIME","AQUARIUS"
